"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"04/01/2024";"0000";"20,4";"20,7";"20,4";"86,6";"86,6";"86,2";"";"";"";"917,2";"917,2";"916,8";"2,0";"157,0";"2,0";"";"0,0"
"04/01/2024";"0100";"20,6";"20,6";"20,4";"86,6";"86,6";"85,5";"";"";"";"917,3";"917,5";"916,8";"2,0";"157,0";"2,6";"";"0,0"
"04/01/2024";"0200";"20,4";"20,6";"20,4";"90,7";"90,7";"87,0";"";"";"";"917,7";"917,9";"917,1";"2,8";"157,0";"2,0";"";"0,0"
"04/01/2024";"0300";"19,9";"20,5";"19,8";"94,9";"94,9";"90,0";"";"";"";"916,5";"917,7";"916,5";"2,8";"";"1,5";"";"0,0"
"04/01/2024";"0400";"19,4";"20,0";"19,4";"94,9";"95,0";"93,6";"";"";"";"916,4";"916,6";"";"1,8";"112,0";"1,8";"";"0,2"
"04/01/2024";"0500";"18,8";"19,4";"18,8";"97,7";"97,7";"95,3";"";"";"";"915,8";"916,4";"915,5";"2,4";"202,0";"2,4";"";"0,6"
"04/01/2024";"0600";"18,6";"18,8";"18,4";"98,3";"98,8";"97,7";"";"";"";"915,4";"916,3";"915,4";"1,6";"135,0";"2,4";"";"0,0"
"04/01/2024";"0700";"18,8";"18,8";"18,6";"96,6";"98,2";"96,6";"";"";"";"915,1";"915,3";"914,8";"0,0";"112,0";"1,6";"";"0,0"
"04/01/2024";"0800";"18,8";"18,8";"18,8";"97,5";"97,5";"96,4";"";"";"";"915,2";"915,2";"914,7";"0,0";"157,0";"1,6";"";"0,0"
"04/01/2024";"0900";"18,7";"18,8";"18,7";"98,2";"98,3";"97,8";"";"";"";"915,7";"916,1";"915,1";"0,7";"90,0";"2,0";"";"0,0"
"04/01/2024";"1000";"19,3";"19,3";"18,7";"99,6";"99,7";"97,9";"";"";"";"916,0";"916,6";"915,6";"0,3";"135,0";"1,6";"";"0,0"
"04/01/2024";"1100";"19,5";"20,1";"19,3";"97,1";"99,9";"100,0";"";"";"";"916,4";"916,5";"915,9";"1,6";"135,0";"1,6";"";"1,0"
"04/01/2024";"1200";"21,1";"21,2";"19,7";"97,8";"99,6";"100,0";"";"";"";"917,0";"917,3";"916,7";"0,5";"135,0";"1,3";"";"0,2"
"04/01/2024";"1300";"22,5";"22,7";"20,4";"84,4";"99,9";"100,0";"";"";"";"917,2";"917,4";"916,5";"0,9";"135,0";"2,6";"";"0,0"
"04/01/2024";"1400";"22,6";"22,6";"21,8";"88,0";"97,2";"84,4";"";"";"";"917,0";"917,2";"916,3";"1,8";"157,0";"2,0";"";"0,0"
"04/01/2024";"1500";"24,5";"24,7";"22,6";"79,7";"88,0";"77,0";"";"";"";"917,3";"917,5";"916,3";"1,5";"135,0";"2,0";"";"0,0"
"04/01/2024";"1600";"21,8";"24,5";"21,5";"96,6";"96,6";"78,4";"";"";"";"916,7";"917,3";"916,7";"0,0";"180,0";"2,0";"";"0,6"
"04/01/2024";"1700";"21,5";"23,3";"21,5";"91,8";"96,6";"88,0";"";"";"";"917,2";"917,4";"916,5";"1,6";"135,0";"2,4";"";"0,4"
